data,0,10,6.00775
data,0,10,6.02569
data,0,10,6.1345
data,0,10,5.9457
data,0,10,5.90924
data,0,10,6.09976
data,0,10,5.90697
data,0,10,5.81137
data,1,9,4.91144
data,1,9,4.91223
data,1,9,5.08426
data,1,9,5.10936
data,1,9,4.91066
data,1,9,5.11139
data,1,9,5.1142
data,1,9,5.11069
data,2,8,4.51574
data,2,8,4.47645
data,2,8,4.40901
data,2,8,4.33824
data,2,8,4.39132
data,2,8,4.40585
data,2,8,4.40433
data,2,8,4.344
data,3,7,4.35007
data,3,7,4.39243
data,3,7,4.40374
data,3,7,4.39297
data,3,7,4.34975
data,3,7,4.35542
data,3,7,4.3985
data,3,7,4.41882
data,4,6,4.38237
data,4,6,4.33672
data,4,6,4.29628
data,4,6,4.3634
data,4,6,4.30048
data,4,6,4.29868
data,4,6,4.34256
data,4,6,4.26861
data,5,5,4.35507
data,5,5,4.44902
data,5,5,4.44608
data,5,5,4.44914
data,5,5,4.4137
data,5,5,4.31508
data,5,5,4.38813
data,5,5,4.37665
data,6,4,4.51021
data,6,4,4.48357
data,6,4,4.46723
data,6,4,4.44602
data,6,4,4.44153
data,6,4,4.45741
data,6,4,4.40585
data,6,4,4.4543
data,7,3,4.54365
data,7,3,4.53157
data,7,3,4.53262
data,7,3,4.54755
data,7,3,4.59035
data,7,3,4.6022
data,7,3,4.5733
data,7,3,4.47821
data,8,2,4.62714
data,8,2,4.59928
data,8,2,4.65116
data,8,2,4.66097
data,8,2,4.56537
data,8,2,4.55825
data,8,2,4.54618
data,8,2,4.55722
data,9,1,4.73716
data,9,1,4.65051
data,9,1,4.64082
data,9,1,4.68291
data,9,1,4.66554
data,9,1,4.62102
data,9,1,4.71581
data,9,1,4.63631
data,10,0,4.50849
data,10,0,4.52445
data,10,0,4.55044
data,10,0,4.58635
data,10,0,4.56339
data,10,0,4.53504
data,10,0,4.51456
data,10,0,4.50567
